Seed,AUC,Alpha
5,0.7865439593759789,0.0
5,0.781329343791442,0.5
5,0.7904490900245904,1.0
5,0.7836384355486842,1.5
5,0.7839316535496038,2.0
5,0.805269927161983,2.5
5,0.7743687482923383,3.0
5,0.7726061082640828,3.5
5,0.798685850232242,4.0
5,0.7840649344591127,5.0
5,0.7983926322313223,6.0
5,0.7942742521274966,7.0
5,0.7834385141844207,10.0
5,0.777993989030981,15.0
