Seed,AUC,Alpha
2,0.7637129395770997,0.0
2,0.7909655535489374,0.5
2,0.7805863027209298,1.0
2,0.7949206645386149,1.5
2,0.795460452222126,2.0
2,0.7861107964200748,2.5
2,0.7446604335627987,3.0
2,0.7873802970831472,3.5
2,0.7868971537861774,4.0
2,0.7859441952831886,5.0
2,0.7925682564857821,6.0
2,0.7754416596138853,7.0
2,0.7954371280629619,10.0
2,0.7722362537401956,15.0
